timestamp,simulation_time,queue_north,queue_south,queue_east,queue_west,wait_north,wait_south,wait_east,wait_west,light_ns,light_ew,agent_decision,emergency_active,total_vehicles,crossed_vehicles
2025-11-12 19:32:00,1.0,0,0,0,0,0.00,0.00,0.00,0.00,green,red,Standard timing,False,0,0
2025-11-12 19:32:01,2.0,0,0,1,0,0.00,0.00,0.00,0.00,green,red,Standard timing,False,1,0
2025-11-12 19:32:02,3.0,0,0,1,0,0.00,0.00,0.00,0.00,green,red,Standard timing,False,1,0
2025-11-12 19:32:03,4.0,0,0,1,1,0.00,0.00,0.00,0.00,green,red,Standard timing,False,2,0
2025-11-12 19:32:04,5.0,0,0,1,1,0.00,0.00,0.00,0.00,green,red,Standard timing,False,2,0
2025-11-12 19:32:05,6.0,0,0,2,1,0.00,0.00,0.00,0.00,green,red,Standard timing,False,3,0
2025-11-12 19:32:06,7.0,0,0,2,1,0.00,0.00,0.23,0.00,green,red,Standard timing,False,3,0
2025-11-12 19:32:07,8.1,0,1,2,1,0.00,0.00,0.74,0.00,green,red,Standard timing,False,4,0
2025-11-12 19:32:08,9.1,0,1,2,1,0.00,0.00,1.24,0.49,green,red,Standard timing,False,4,0
2025-11-12 19:32:09,10.1,1,1,2,1,0.00,0.00,1.74,1.50,green,red,Standard timing,False,5,0
2025-11-12 19:32:10,11.1,1,1,2,1,0.00,0.00,2.48,2.50,green,red,Standard timing,False,5,0
2025-11-12 19:32:11,12.1,1,2,2,1,0.00,0.00,3.49,3.51,green,red,Standard timing,False,6,0
2025-11-12 19:32:13,13.1,1,2,2,1,0.00,0.00,4.50,4.51,green,red,Standard timing,False,6,0
2025-11-12 19:32:14,14.1,2,2,2,1,0.00,0.00,5.50,5.52,green,red,Standard timing,False,7,0
2025-11-12 19:32:15,15.1,2,2,2,1,0.00,0.00,6.51,6.53,green,red,Standard timing,False,7,0
2025-11-12 19:32:16,16.1,2,3,2,1,0.00,0.00,7.51,7.53,green,red,Standard timing,False,8,0
2025-11-12 19:32:17,17.1,2,3,2,1,0.00,0.00,8.52,8.54,green,red,Standard timing,False,8,0
2025-11-12 19:32:18,18.1,1,3,2,2,0.00,0.00,9.53,4.77,green,red,Standard timing,True,8,0
2025-11-12 19:32:19,19.1,1,3,2,2,0.00,0.00,10.54,5.28,green,red,Standard timing,True,8,0
2025-11-12 19:32:20,20.1,2,2,2,2,0.00,0.00,11.54,5.78,green,red,Standard timing,True,8,0
2025-11-12 19:32:21,21.1,2,2,2,2,0.00,0.22,12.10,6.07,red,green,Standard timing,True,8,0
2025-11-12 19:32:22,22.1,1,2,3,2,0.00,0.73,8.07,6.07,red,green,Standard timing,True,8,0
2025-11-12 19:32:23,23.1,1,2,3,2,0.57,1.23,8.07,6.07,red,green,Standard timing,True,8,0
2025-11-12 19:32:24,24.2,1,2,3,2,1.58,1.74,8.07,6.07,red,green,Standard timing,True,8,0
2025-11-12 19:32:25,25.2,1,2,3,1,2.58,2.24,8.07,12.12,red,green,Standard timing,False,7,0
2025-11-12 19:32:26,26.2,1,2,3,2,3.59,2.74,8.07,6.06,red,green,Standard timing,False,8,0
2025-11-12 19:32:27,27.2,1,2,3,2,4.60,3.54,8.07,6.06,red,green,Standard timing,False,8,0
2025-11-12 19:32:28,28.2,1,3,1,1,5.61,3.03,0.00,0.00,red,green,Standard timing,False,6,0
2025-11-12 19:32:29,29.2,1,3,1,1,6.61,3.70,0.00,0.00,red,green,Standard timing,False,6,0
2025-11-12 19:32:30,30.2,1,3,2,1,7.62,4.38,0.00,0.00,red,green,Standard timing,False,7,0
2025-11-12 19:32:31,31.2,1,3,2,1,8.63,5.24,0.00,0.00,red,green,Standard timing,False,7,0
2025-11-12 19:32:32,32.2,1,3,2,2,9.63,6.25,0.00,0.00,red,green,Standard timing,False,8,0
2025-11-12 19:32:33,33.2,1,3,2,2,10.64,7.26,0.00,0.00,red,green,Standard timing,False,8,0
2025-11-12 19:32:34,34.2,1,4,1,2,11.65,6.20,0.00,0.00,red,green,Standard timing,False,8,0
2025-11-12 19:32:35,35.2,1,4,1,2,12.65,6.95,0.00,0.00,red,green,Standard timing,False,8,0
2025-11-12 19:32:36,36.2,1,4,2,2,13.65,7.70,0.00,0.00,red,green,Standard timing,False,9,0
2025-11-12 19:32:37,37.2,1,4,2,2,14.66,8.61,0.00,0.00,red,green,Standard timing,False,9,0
2025-11-12 19:32:38,38.2,2,4,2,1,7.83,9.62,0.00,0.00,red,green,Standard timing,False,9,0
2025-11-12 19:32:39,39.3,2,4,2,1,8.34,10.63,0.00,0.00,red,green,Standard timing,False,9,0
2025-11-12 19:32:40,40.3,2,5,2,1,8.85,9.31,0.00,0.00,red,green,Standard timing,False,10,0
2025-11-12 19:32:41,41.3,2,5,2,1,9.35,10.12,0.00,0.00,red,green,Standard timing,False,10,0
2025-11-12 19:32:42,42.3,2,5,1,2,9.85,10.92,0.00,0.00,red,green,Standard timing,True,10,0
2025-11-12 19:32:43,43.3,2,5,1,2,10.85,11.86,0.00,0.00,red,green,Standard timing,True,10,0
2025-11-12 19:32:44,44.3,3,5,1,2,7.90,12.86,0.00,0.00,red,green,Standard timing,True,11,0
2025-11-12 19:32:45,45.3,3,5,1,2,8.58,13.87,0.00,0.00,red,green,Standard timing,True,11,0
2025-11-12 19:32:46,46.3,4,5,1,2,6.94,14.88,0.00,0.00,red,green,Standard timing,True,12,0
2025-11-12 19:32:47,47.3,4,5,1,2,7.44,15.88,0.00,0.00,red,green,Standard timing,True,12,0
2025-11-12 19:32:48,48.3,4,5,1,2,7.94,16.89,0.00,0.00,red,green,Standard timing,True,12,0
2025-11-12 19:32:49,49.3,4,5,1,1,8.65,17.90,0.00,0.00,red,green,Standard timing,False,11,0
2025-11-12 19:32:50,50.3,4,6,1,1,9.66,15.75,0.00,0.00,red,green,Standard timing,False,12,0
2025-11-12 19:32:51,51.3,4,6,1,1,10.66,16.59,0.00,0.00,red,yellow,Standard timing,False,12,0
2025-11-12 19:32:52,52.3,4,7,1,0,11.67,14.94,0.00,0.00,red,yellow,Standard timing,False,12,0
2025-11-12 19:32:53,53.4,4,7,1,0,12.68,15.76,0.61,0.00,red,yellow,Standard timing,False,12,0
2025-11-12 19:32:54,54.4,4,7,2,0,13.70,16.63,0.81,0.00,red,yellow,Standard timing,False,13,0
2025-11-12 19:32:55,55.4,4,7,2,0,14.71,17.59,1.32,0.00,red,yellow,Standard timing,False,13,0
2025-11-12 19:32:56,56.4,4,8,2,0,15.02,15.67,1.82,0.00,green,red,Standard timing,False,14,0
2025-11-12 19:32:57,57.4,4,8,2,0,15.02,15.67,2.32,0.00,green,red,Standard timing,False,14,0
2025-11-12 19:32:58,58.4,4,8,2,1,15.02,15.67,2.83,0.00,green,red,Standard timing,False,15,0
2025-11-12 19:32:59,59.4,4,7,2,1,15.02,12.90,3.64,0.00,green,red,Standard timing,False,14,0
2025-11-12 19:33:00,60.4,4,7,3,1,15.02,12.90,3.11,0.00,green,red,Standard timing,False,15,0
2025-11-12 19:33:01,61.4,2,1,3,1,9.97,0.00,3.78,0.00,green,red,Standard timing,False,7,0
2025-11-12 19:33:02,62.4,2,2,3,1,9.97,0.00,4.45,0.00,green,red,Standard timing,False,8,0
2025-11-12 19:33:03,63.4,2,2,3,1,9.97,0.00,5.12,0.66,green,red,Standard timing,False,8,0
2025-11-12 19:33:04,64.5,3,1,3,1,6.65,0.00,5.79,1.66,green,red,Standard timing,False,8,0
2025-11-12 19:33:05,65.5,2,1,3,1,3.27,0.00,6.69,2.67,green,red,Standard timing,False,7,0
